Vendor Name, Batch Number,Vendor Name,Invoice Number, Line,Line Amount,Account Description,Issue Date ,Total Amount Paid,Department,Proclass
EDF ENERGY,142488,EDF ENERGY,00005014830,121,297.39,ELECTRICITY,03/12/18,,Technical and Service Support,Utilities
EDF ENERGY,142488,EDF ENERGY,00005014830,122,444.15,ELECTRICITY,03/12/18,,Technical and Service Support,Utilities
EDF ENERGY,142488,EDF ENERGY,00005014830,123,327.55,ELECTRICITY,03/12/18,,Technical and Service Support,Utilities
EDF ENERGY,142488,EDF ENERGY,00005014830,124,274.38,ELECTRICITY,03/12/18,,Technical and Service Support,Utilities
EDF ENERGY,142488,EDF ENERGY,00005014830,125,306.41,ELECTRICITY,03/12/18,,Technical and Service Support,Utilities
EDF ENERGY,142488,EDF ENERGY,00005014830,126,23.49,ELECTRICITY,03/12/18,,Technical and Service Support,Utilities
EDF ENERGY,142488,EDF ENERGY,00005014830,127,22.20,ELECTRICITY,03/12/18,,Technical and Service Support,Utilities
EDF ENERGY,142488,EDF ENERGY,00005014830,128,511.89,ELECTRICITY,03/12/18,,Technical and Service Support,Utilities
EDF ENERGY,142488,EDF ENERGY,00005014830,129,670.28,ELECTRICITY,03/12/18,,Technical and Service Support,Utilities
EDF ENERGY,142488,EDF ENERGY,00005014830,130,362.46,ELECTRICITY,03/12/18,,Technical and Service Support,Utilities
EDF ENERGY,142488,EDF ENERGY,00005014830,131,579.17,ELECTRICITY,03/12/18,,Technical and Service Support,Utilities
EDF ENERGY,142488,EDF ENERGY,00005014830,132,465.82,ELECTRICITY,03/12/18,,Technical and Service Support,Utilities
EDF ENERGY,142488,EDF ENERGY,00005014830,133,406.27,ELECTRICITY,03/12/18,,Technical and Service Support,Utilities
EDF ENERGY,142488,EDF ENERGY,00005014830,134,371.29,ELECTRICITY,03/12/18,,Technical and Service Support,Utilities
EDF ENERGY,142488,EDF ENERGY,00005014830,135,495.40,ELECTRICITY,03/12/18,,Technical and Service Support,Utilities
EDF ENERGY,142488,EDF ENERGY,00005014830,136,592.91,ELECTRICITY,03/12/18,,Technical and Service Support,Utilities
EDF ENERGY,142488,EDF ENERGY,00005014830,137,405.63,ELECTRICITY,03/12/18,,Technical and Service Support,Utilities
EDF ENERGY,142488,EDF ENERGY,00005014830,138,494.63,ELECTRICITY,03/12/18,,Technical and Service Support,Utilities
EDF ENERGY,142488,EDF ENERGY,00005014830,139,432.08,ELECTRICITY,03/12/18,,Technical and Service Support,Utilities
EDF ENERGY,142488,EDF ENERGY,00005014830,140,364.75,ELECTRICITY,03/12/18,,Technical and Service Support,Utilities
EDF ENERGY,142488,EDF ENERGY,00005014830,141,352.12,ELECTRICITY,03/12/18,,Technical and Service Support,Utilities
EDF ENERGY,142488,EDF ENERGY,00005014830,142,345.17,ELECTRICITY,03/12/18,,Technical and Service Support,Utilities
EDF ENERGY,142488,EDF ENERGY,00005014830,143,415.52,ELECTRICITY,03/12/18,,Technical and Service Support,Utilities
EDF ENERGY,142488,EDF ENERGY,00005014830,144,504.74,ELECTRICITY,03/12/18,,Technical and Service Support,Utilities
ORC INTERNATIONAL,281118K,ORC INTERNATIONAL,006080,1,"4,352.50",GENERAL,03/12/18,"4,352.50",Strategy & Risk,Consultancy
