Invoice Number, Batch Number,Vendor Name,Invoice Number, Line,Line Amount,Account Description,Issue Date ,Total Amount Paid,Department,Proclass
10123596,800124234,KIER BUILDING SERV ENGINEERS,10123596,72,63.24,REACTIVE MEP,07/01/19,,Technical and Service Support,Works - Construction
10123596,800124234,KIER BUILDING SERV ENGINEERS,10123596,73,143.28,REACTIVE MEP,07/01/19,,Technical and Service Support,Works - Construction
10123596,800124234,KIER BUILDING SERV ENGINEERS,10123596,74,"1,092.84",REACTIVE MEP,07/01/19,,Technical and Service Support,Works - Construction
10123596,800124234,KIER BUILDING SERV ENGINEERS,10123596,75,98.50,REACTIVE MEP,07/01/19,,Technical and Service Support,Works - Construction
10123596,800124234,KIER BUILDING SERV ENGINEERS,10123596,76,26.87,REACTIVE MEP,07/01/19,,Technical and Service Support,Works - Construction
10123596,800124234,KIER BUILDING SERV ENGINEERS,10123596,77,35.82,REACTIVE MEP,07/01/19,,Technical and Service Support,Works - Construction
10123596,800124234,KIER BUILDING SERV ENGINEERS,10123596,78,107.46,REACTIVE MEP,07/01/19,,Technical and Service Support,Works - Construction
10123596,800124234,KIER BUILDING SERV ENGINEERS,10123596,79,54.88,REACTIVE MEP,07/01/19,,Technical and Service Support,Works - Construction
10123596,800124234,KIER BUILDING SERV ENGINEERS,10123596,80,26.87,REACTIVE MEP,07/01/19,,Technical and Service Support,Works - Construction
10123596,800124234,KIER BUILDING SERV ENGINEERS,10123596,81,214.92,REACTIVE MEP,07/01/19,,Technical and Service Support,Works - Construction
10123596,800124234,KIER BUILDING SERV ENGINEERS,10123596,82,44.78,REACTIVE MEP,07/01/19,,Technical and Service Support,Works - Construction
10123596,800124234,KIER BUILDING SERV ENGINEERS,10123596,83,8.95,REACTIVE MEP,07/01/19,,Technical and Service Support,Works - Construction
10123596,800124234,KIER BUILDING SERV ENGINEERS,10123596,84,71.64,REACTIVE MEP,07/01/19,,Technical and Service Support,Works - Construction
10128919,800124225,KIER BUILDING SERV ENGINEERS,10128919,1,107.46,REACTIVE MEP,07/01/19,"2,839.21",Technical and Service Support,Works - Construction
10128919,800124225,KIER BUILDING SERV ENGINEERS,10128919,2,201.46,REACTIVE MEP,07/01/19,,Technical and Service Support,Works - Construction
10128919,800124225,KIER BUILDING SERV ENGINEERS,10128919,3,71.64,REACTIVE MEP,07/01/19,,Technical and Service Support,Works - Construction
10128919,800124225,KIER BUILDING SERV ENGINEERS,10128919,4,17.91,REACTIVE MEP,07/01/19,,Technical and Service Support,Works - Construction
10128919,800124225,KIER BUILDING SERV ENGINEERS,10128919,5,77.00,REACTIVE MEP,07/01/19,,Technical and Service Support,Works - Construction
10128919,800124225,KIER BUILDING SERV ENGINEERS,10128919,6,93.12,REACTIVE MEP,07/01/19,,Technical and Service Support,Works - Construction
10128919,800124225,KIER BUILDING SERV ENGINEERS,10128919,7,192.51,REACTIVE MEP,07/01/19,,Technical and Service Support,Works - Construction
10128919,800124225,KIER BUILDING SERV ENGINEERS,10128919,8,35.82,REACTIVE MEP,07/01/19,,Technical and Service Support,Works - Construction
10128919,800124225,KIER BUILDING SERV ENGINEERS,10128919,9,52.77,REACTIVE MEP,07/01/19,,Technical and Service Support,Works - Construction
10128919,800124225,KIER BUILDING SERV ENGINEERS,10128919,10,44.78,REACTIVE MEP,07/01/19,,Technical and Service Support,Works - Construction
10128919,800124225,KIER BUILDING SERV ENGINEERS,10128919,11,151.53,REACTIVE MEP,07/01/19,,Technical and Service Support,Works - Construction
10128919,800124225,KIER BUILDING SERV ENGINEERS,10128919,12,134.33,REACTIVE MEP,07/01/19,,Technical and Service Support,Works - Construction
10128919,800124225,KIER BUILDING SERV ENGINEERS,10128919,13,71.64,REACTIVE MEP,07/01/19,,Technical and Service Support,Works - Construction
10128919,800124225,KIER BUILDING SERV ENGINEERS,10128919,14,26.87,REACTIVE MEP,07/01/19,,Technical and Service Support,Works - Construction
10128919,800124225,KIER BUILDING SERV ENGINEERS,10128919,15,604.88,REACTIVE MEP,07/01/19,,Technical and Service Support,Works - Construction
10128919,800124225,KIER BUILDING SERV ENGINEERS,10128919,16,35.82,REACTIVE MEP,07/01/19,,Technical and Service Support,Works - Construction
10128919,800124225,KIER BUILDING SERV ENGINEERS,10128919,17,527.46,REACTIVE MEP,07/01/19,,Technical and Service Support,Works - Construction
10128919,800124225,KIER BUILDING SERV ENGINEERS,10128919,18,186.24,REACTIVE MEP,07/01/19,,Technical and Service Support,Works - Construction
10128919,800124225,KIER BUILDING SERV ENGINEERS,10128919,19,161.19,REACTIVE MEP,07/01/19,,Technical and Service Support,Works - Construction
10128919,800124225,KIER BUILDING SERV ENGINEERS,10128919,20,44.78,REACTIVE MEP,07/01/19,,Technical and Service Support,Works - Construction
10128960,800124226,KIER BUILDING SERV ENGINEERS,10128960,1,35.82,REACTIVE BUILDING FABRIC,07/01/19,"1,347.46",Technical and Service Support,Works - Construction
10128960,800124226,KIER BUILDING SERV ENGINEERS,10128960,2,35.82,REACTIVE BUILDING FABRIC,07/01/19,,Technical and Service Support,Works - Construction
10128960,800124226,KIER BUILDING SERV ENGINEERS,10128960,3,270.60,REACTIVE BUILDING FABRIC,07/01/19,,Technical and Service Support,Works - Construction
10128960,800124226,KIER BUILDING SERV ENGINEERS,10128960,4,207.61,REACTIVE BUILDING FABRIC,07/01/19,,Technical and Service Support,Works - Construction
10128960,800124226,KIER BUILDING SERV ENGINEERS,10128960,5,26.87,REACTIVE BUILDING FABRIC,07/01/19,,Technical and Service Support,Works - Construction
10128960,800124226,KIER BUILDING SERV ENGINEERS,10128960,6,143.28,REACTIVE BUILDING FABRIC,07/01/19,,Technical and Service Support,Works - Construction
10128960,800124226,KIER BUILDING SERV ENGINEERS,10128960,7,244.44,REACTIVE BUILDING FABRIC,07/01/19,,Technical and Service Support,Works - Construction
10128960,800124226,KIER BUILDING SERV ENGINEERS,10128960,8,152.23,REACTIVE BUILDING FABRIC,07/01/19,,Technical and Service Support,Works - Construction
10128960,800124226,KIER BUILDING SERV ENGINEERS,10128960,9,17.91,REACTIVE BUILDING FABRIC,07/01/19,,Technical and Service Support,Works - Construction
