 Batch Number,Vendor Name,Invoice Number, Line,Line Amount,Account Description,Issue Date ,Total Amount Paid,Department,Title
800059925,*NPS (SHOES) LTD,14462,52,29.45,CLOTHING,02/04/2015,,Firefighter Trainees,Clothing
800059925,*NPS (SHOES) LTD,14462,53,29.45,CLOTHING,02/04/2015,,Cadets,Clothing
800059925,*NPS (SHOES) LTD,14462,54,29.45,CLOTHING,02/04/2015,,Cadets,Clothing
800059925,*NPS (SHOES) LTD,14462,55,29.45,CLOTHING,02/04/2015,,Cadets,Clothing
800059925,*NPS (SHOES) LTD,14462,56,29.45,CLOTHING,02/04/2015,,Cadets,Clothing
800059925,*NPS (SHOES) LTD,14462,57,29.45,CLOTHING,02/04/2015,,Operations Fire Stations,Clothing
800059925,*NPS (SHOES) LTD,14462,58,29.45,CLOTHING,02/04/2015,,Firefighter Trainees,Clothing
800059925,*NPS (SHOES) LTD,14462,59,29.45,CLOTHING,02/04/2015,,Firefighter Trainees,Clothing
800059925,*NPS (SHOES) LTD,14462,60,29.45,CLOTHING,02/04/2015,,Cadets,Clothing
800059925,*NPS (SHOES) LTD,14462,61,29.45,CLOTHING,02/04/2015,,Cadets,Clothing
800059925,*NPS (SHOES) LTD,14462,62,29.45,CLOTHING,02/04/2015,,Firefighter Trainees,Clothing
800059925,*NPS (SHOES) LTD,14462,63,29.45,CLOTHING,02/04/2015,,Firefighter Trainees,Clothing
800059925,*NPS (SHOES) LTD,14462,64,29.45,CLOTHING,02/04/2015,,Operations Fire Stations,Clothing
800059925,*NPS (SHOES) LTD,14462,65,29.45,CLOTHING,02/04/2015,,Firefighter Trainees,Clothing
800059925,*NPS (SHOES) LTD,14462,66,29.45,CLOTHING,02/04/2015,,Firefighter Trainees,Clothing
800059925,*NPS (SHOES) LTD,14462,67,29.45,CLOTHING,02/04/2015,,Operations Fire Stations,Clothing
800059925,*NPS (SHOES) LTD,14462,68,29.45,CLOTHING,02/04/2015,,Cadets,Clothing
800059925,*NPS (SHOES) LTD,14462,69,29.45,CLOTHING,02/04/2015,,Cadets,Clothing
800059925,*NPS (SHOES) LTD,14462,70,29.45,CLOTHING,02/04/2015,,Cadets,Clothing
800059925,*NPS (SHOES) LTD,14462,71,29.45,CLOTHING,02/04/2015,,Cadets,Clothing
800059925,*NPS (SHOES) LTD,14462,72,28.45,CLOTHING,02/04/2015,,Operations Fire Stations,Clothing
800059925,*NPS (SHOES) LTD,14462,73,30.05,CLOTHING,02/04/2015,,Operational Assurance,Clothing
800059925,*NPS (SHOES) LTD,14462,74,30.05,CLOTHING,02/04/2015,,Operations Fire Stations,Clothing
800059925,*NPS (SHOES) LTD,14462,75,30.05,CLOTHING,02/04/2015,,Operations Fire Stations,Clothing
800059925,*NPS (SHOES) LTD,14462,76,30.05,CLOTHING,02/04/2015,,Operations Fire Stations,Clothing
800059925,*NPS (SHOES) LTD,14462,77,30.05,CLOTHING,02/04/2015,,Operations Fire Stations,Clothing
800059925,*NPS (SHOES) LTD,14462,78,30.05,CLOTHING,02/04/2015,,Operations Fire Stations,Clothing
800059925,*NPS (SHOES) LTD,14462,79,30.05,CLOTHING,02/04/2015,,Operations Fire Stations,Clothing
800059925,*NPS (SHOES) LTD,14462,80,30.05,CLOTHING,02/04/2015,,Operations Fire Stations,Clothing
800059925,*NPS (SHOES) LTD,14462,81,30.05,CLOTHING,02/04/2015,,Operational Assurance,Clothing
800059925,*NPS (SHOES) LTD,14462,82,30.05,CLOTHING,02/04/2015,,Operations Non Fire Stations,Clothing
800059925,*NPS (SHOES) LTD,14462,83,30.05,CLOTHING,02/04/2015,,Command Units,Clothing
800059925,*NPS (SHOES) LTD,14462,84,29.45,CLOTHING,02/04/2015,,Operations Fire Stations,Clothing
800059925,*NPS (SHOES) LTD,14462,85,29.45,CLOTHING,02/04/2015,,Operations Fire Stations,Clothing
800059925,*NPS (SHOES) LTD,14462,86,29.45,CLOTHING,02/04/2015,,Operations Fire Stations,Clothing
800059925,*NPS (SHOES) LTD,14462,87,29.45,CLOTHING,02/04/2015,,Operations Fire Stations,Clothing
800059925,*NPS (SHOES) LTD,14462,88,29.45,CLOTHING,02/04/2015,,Operations Fire Stations,Clothing
