 Batch Number,Vendor Name,Invoice Number, Line,Line Amount,Account Description,Issue Date ,Total Amount Paid,Department,Title
260315H,IMTECH INVIRON,15005244R7,3,"1,035.00",DEVELOPMENT  EXPENSES-CONTRACT,02/04/2015,,Technical and Service Support,Facilities & Management S
260315H,IMTECH INVIRON,15005244R7,4,"1,035.00",DEVELOPMENT  EXPENSES-CONTRACT,02/04/2015,,Technical and Service Support,Facilities & Management S
260315H,IMTECH INVIRON,15005244R7,5,"1,035.00",DEVELOPMENT  EXPENSES-CONTRACT,02/04/2015,,Technical and Service Support,Facilities & Management S
260315H,IMTECH INVIRON,15005244R7,6,"1,035.00",DEVELOPMENT  EXPENSES-CONTRACT,02/04/2015,,Technical and Service Support,Facilities & Management S
260315H,IMTECH INVIRON,15005244R7,7,"1,035.00",DEVELOPMENT  EXPENSES-CONTRACT,02/04/2015,,Technical and Service Support,Facilities & Management S
260315H,IMTECH INVIRON,15005244R7,8,"1,035.00",DEVELOPMENT  EXPENSES-CONTRACT,02/04/2015,,Technical and Service Support,Facilities & Management S
260315H,IMTECH INVIRON,15005244R7,9,"1,035.00",DEVELOPMENT  EXPENSES-CONTRACT,02/04/2015,,Technical and Service Support,Facilities & Management S
260315H,IMTECH INVIRON,15005244R7,10,"1,035.00",DEVELOPMENT  EXPENSES-CONTRACT,02/04/2015,,Technical and Service Support,Facilities & Management S
260315H,IMTECH INVIRON,15005244R7,11,"1,035.00",DEVELOPMENT  EXPENSES-CONTRACT,02/04/2015,,Technical and Service Support,Facilities & Management S
260315H,IMTECH INVIRON,15005244R7,12,"1,035.00",DEVELOPMENT  EXPENSES-CONTRACT,02/04/2015,,Technical and Service Support,Facilities & Management S
260315H,IMTECH INVIRON,15005244R7,13,"1,035.00",DEVELOPMENT  EXPENSES-CONTRACT,02/04/2015,,Technical and Service Support,Facilities & Management S
260315H,IMTECH INVIRON,15005244R7,14,"1,035.00",DEVELOPMENT  EXPENSES-CONTRACT,02/04/2015,,Technical and Service Support,Facilities & Management S
260315H,IMTECH INVIRON,15005244R7,15,"1,035.00",DEVELOPMENT  EXPENSES-CONTRACT,02/04/2015,,Technical and Service Support,Facilities & Management S
260315H,IMTECH INVIRON,15005244R7,16,"1,035.00",DEVELOPMENT  EXPENSES-CONTRACT,02/04/2015,,Technical and Service Support,Facilities & Management S
260315H,IMTECH INVIRON,15005244R7,17,"1,035.00",DEVELOPMENT  EXPENSES-CONTRACT,02/04/2015,,Technical and Service Support,Facilities & Management S
260315H,IMTECH INVIRON,15005244R7,18,"1,035.00",DEVELOPMENT  EXPENSES-CONTRACT,02/04/2015,,Technical and Service Support,Facilities & Management S
260315H,IMTECH INVIRON,15005244R7,19,"1,035.00",DEVELOPMENT  EXPENSES-CONTRACT,02/04/2015,,Technical and Service Support,Facilities & Management S
260315H,IMTECH INVIRON,15005244R7,20,"1,035.00",DEVELOPMENT  EXPENSES-CONTRACT,02/04/2015,,Technical and Service Support,Facilities & Management S
260315H,IMTECH INVIRON,15005244R7,21,"1,035.00",DEVELOPMENT  EXPENSES-CONTRACT,02/04/2015,,Technical and Service Support,Facilities & Management S
300315H,RYDERMARSHSHARMAN LIMITED,15029,1,"4,950.00",CONSULTANTS,02/04/2015,"4,950.00",Operational Assurance,Consultancy
260315H,RESPIREX======================,150815,1,"5,625.00",TELEMETRY MAINTENANCE,02/04/2015,"5,625.00",Technical And Service Support,Clothing
260315H,RESPIREX======================,150816,1,"5,625.00",TELEMETRY MAINTENANCE,02/04/2015,"5,625.00",Technical And Service Support,Clothing
260315H,RESPIREX======================,150817,1,"11,250.00",TELEMETRY MAINTENANCE,02/04/2015,"11,250.00",Technical And Service Support,Clothing
260315H,RESPIREX======================,150833,1,104.67,REPAIR & MAINTENANCE,02/04/2015,363.36,Technical And Service Support,Clothing
260315H,RESPIREX======================,150833,2,21.67,REPAIR & MAINTENANCE,02/04/2015,,Technical And Service Support,Clothing
260315H,RESPIREX======================,150833,3,237.02,REPAIR & MAINTENANCE,02/04/2015,,Technical And Service Support,Clothing
260315H,RESPIREX======================,150835,1,274.52,PROTECTIVE EQUIPMENT,02/04/2015,786.06,Technical And Service Support,Clothing
260315H,RESPIREX======================,150835,2,237.02,PROTECTIVE EQUIPMENT,02/04/2015,,Technical And Service Support,Clothing
260315H,RESPIREX======================,150835,3,274.52,PROTECTIVE EQUIPMENT,02/04/2015,,Technical And Service Support,Clothing
300315H,GP CONTRACTS==================,15217,1,705,OFFICE FURNITURE,02/04/2015,705,Operations Fire Stations,Furniture
300315H,SPECTRUM======================,1544,1,540,SPECIALIST EQUIPMENT,02/04/2015,540,Communications,Facilities & Management S
260315H,ROLFE CONTRACTING LIMITED,15911,1,"30,351.80",DEVELOPMENT  EXPENSES-CONTRACT,02/04/2015,"30,351.80",Technical and Service Support,"Works - Construction, R&M"
300315H,HELPUSTRADE LTD,161,1,700,PROFESSIONAL DEVELOPMENT,02/04/2015,700,EU Fired-Up Project,Consultancy
300315H,L B OF REDBRIDGE==============,1.70114E+11,1,"1,000.00",COMMUNITY RELATIONS,02/04/2015,"1,000.00",Community Safety Delivery,Statutory Bodies
300315H,HARRIS INSTALLATION SERVICES,17528,1,"10,399.24",REMOVALS,02/04/2015,"10,399.24",Technical And Service Support,Facilities & Management S
260315H,HARRIS INSTALLATION SERVICES,17627,1,"1,085.24",REMOVALS,02/04/2015,"1,085.24",Technical And Service Support,Facilities & Management S
190315H,GREATER LONDON AUTHORITY======,1800004733,1,779,CONSULTANTS,02/04/2015,779,Communications,Fire & Rescue
300315H,COMMUNITIES & LOCAL GOVERNMENT,1800021283,1,"122,993.53",ACQUISITIONS,02/04/2015,"131,734.42",Information and Communication Technology,ICT
300315H,COMMUNITIES & LOCAL GOVERNMENT,1800021283,2,"8,416.82",ACQUISITIONS,02/04/2015,,Information and Communication Technology,ICT
300315H,COMMUNITIES & LOCAL GOVERNMENT,1800021283,3,324.07,ACQUISITIONS,02/04/2015,,Information and Communication Technology,ICT
240315C,BACP ENTERPRISES LTD==========,180315,1,270,SUBSCRIPTIONS,02/04/2015,270,HR Management,Financial Services
200315H,DYSLEXIA ACTION,183934,1,540,LEARNING SUPPORT,02/04/2015,540,HR Management,Human Resources
300315H,DYSLEXIA ACTION,184546,1,525,LEARNING SUPPORT,02/04/2015,525,HR Management,Human Resources
141008,BENJAMIN TANKEL,190097A,1,500,COUNSELS FEES,02/04/2015,500,Legal & Democratic Services,Legal Services
230315H,ENERGY AUDITING AGENCY LTD====,20151250,1,825,CONSULTANTS,02/04/2015,825,Technical And Service Support,Statutory Bodies
230315H,ENERGY AUDITING AGENCY LTD====,20151251,1,"1,375.00",CONSULTANTS,02/04/2015,"1,375.00",Technical And Service Support,Statutory Bodies
230315H,ENERGY AUDITING AGENCY LTD====,20151252,1,825,CONSULTANTS,02/04/2015,825,Technical And Service Support,Statutory Bodies
230315H,ENERGY AUDITING AGENCY LTD====,20151254,1,"2,750.00",CONSULTANTS,02/04/2015,"2,750.00",Technical And Service Support,Statutory Bodies
230315H,ENERGY AUDITING AGENCY LTD====,20151259,1,652,PROFESSIONAL SERVICES,02/04/2015,652,Technical And Service Support,Statutory Bodies
300315H,TRADE WINDS===================,22597,1,434.04,PRINTING,02/04/2015,434.04,Communications,Facilities & Management S
190315H,CRISPIN HUGHES================,2288,1,359.9,PRESS OFFICE,02/04/2015,359.9,Communications,Facilities & Management S
141008,MR EDMUND GRITT,230683,1,"1,000.00",PROFESSIONAL FEES ENFORCEMENT,02/04/2015,"1,000.00",Legal & Democratic Services,Legal Services
300315H,AUTOGLASS LIMITED=============,24972990/24987747,1,"1,430.71",WINDSCREEN & TYRE CHARGES,02/04/2015,"1,430.71",Procurement,Vehicle Management
260315H,REGENT OFFICE CARE LTD========,25560,1,194.11,STRATEGIC (CYCLICAL),02/04/2015,"5,014.53",Technical and Service Support,Cleaning & Janitorial
260315H,REGENT OFFICE CARE LTD========,25560,2,161.76,STRATEGIC (CYCLICAL),02/04/2015,,Technical and Service Support,Cleaning & Janitorial
260315H,REGENT OFFICE CARE LTD========,25560,3,161.76,STRATEGIC (CYCLICAL),02/04/2015,,Technical and Service Support,Cleaning & Janitorial
260315H,REGENT OFFICE CARE LTD========,25560,4,194.11,STRATEGIC (CYCLICAL),02/04/2015,,Technical and Service Support,Cleaning & Janitorial
260315H,REGENT OFFICE CARE LTD========,25560,5,194.11,STRATEGIC (CYCLICAL),02/04/2015,,Technical and Service Support,Cleaning & Janitorial
260315H,REGENT OFFICE CARE LTD========,25560,6,194.11,STRATEGIC (CYCLICAL),02/04/2015,,Technical and Service Support,Cleaning & Janitorial
260315H,REGENT OFFICE CARE LTD========,25560,7,161.76,STRATEGIC (CYCLICAL),02/04/2015,,Technical and Service Support,Cleaning & Janitorial
260315H,REGENT OFFICE CARE LTD========,25560,8,194.11,STRATEGIC (CYCLICAL),02/04/2015,,Technical and Service Support,Cleaning & Janitorial
260315H,REGENT OFFICE CARE LTD========,25560,9,161.76,STRATEGIC (CYCLICAL),02/04/2015,,Technical and Service Support,Cleaning & Janitorial
260315H,REGENT OFFICE CARE LTD========,25560,10,194.11,STRATEGIC (CYCLICAL),02/04/2015,,Technical and Service Support,Cleaning & Janitorial
260315H,REGENT OFFICE CARE LTD========,25560,11,194.11,STRATEGIC (CYCLICAL),02/04/2015,,Technical and Service Support,Cleaning & Janitorial
260315H,REGENT OFFICE CARE LTD========,25560,12,161.76,STRATEGIC (CYCLICAL),02/04/2015,,Technical and Service Support,Cleaning & Janitorial
260315H,REGENT OFFICE CARE LTD========,25560,13,161.76,STRATEGIC (CYCLICAL),02/04/2015,,Technical and Service Support,Cleaning & Janitorial
260315H,REGENT OFFICE CARE LTD========,25560,14,194.11,STRATEGIC (CYCLICAL),02/04/2015,,Technical and Service Support,Cleaning & Janitorial
260315H,REGENT OFFICE CARE LTD========,25560,15,161.76,STRATEGIC (CYCLICAL),02/04/2015,,Technical and Service Support,Cleaning & Janitorial
260315H,REGENT OFFICE CARE LTD========,25560,16,161.76,STRATEGIC (CYCLICAL),02/04/2015,,Technical and Service Support,Cleaning & Janitorial
260315H,REGENT OFFICE CARE LTD========,25560,17,194.11,STRATEGIC (CYCLICAL),02/04/2015,,Technical and Service Support,Cleaning & Janitorial
260315H,REGENT OFFICE CARE LTD========,25560,18,194.11,STRATEGIC (CYCLICAL),02/04/2015,,Technical and Service Support,Cleaning & Janitorial
260315H,REGENT OFFICE CARE LTD========,25560,19,194.11,STRATEGIC (CYCLICAL),02/04/2015,,Technical and Service Support,Cleaning & Janitorial
260315H,REGENT OFFICE CARE LTD========,25560,20,161.76,STRATEGIC (CYCLICAL),02/04/2015,,Technical and Service Support,Cleaning & Janitorial
260315H,REGENT OFFICE CARE LTD========,25560,21,161.76,STRATEGIC (CYCLICAL),02/04/2015,,Technical and Service Support,Cleaning & Janitorial
260315H,REGENT OFFICE CARE LTD========,25560,22,194.11,STRATEGIC (CYCLICAL),02/04/2015,,Technical and Service Support,Cleaning & Janitorial
260315H,REGENT OFFICE CARE LTD========,25560,23,161.76,STRATEGIC (CYCLICAL),02/04/2015,,Technical And Service Support,Cleaning & Janitorial
260315H,REGENT OFFICE CARE LTD========,25560,24,161.76,STRATEGIC (CYCLICAL),02/04/2015,,Technical And Service Support,Cleaning & Janitorial
260315H,REGENT OFFICE CARE LTD========,25560,25,194.11,STRATEGIC (CYCLICAL),02/04/2015,,Technical and Service Support,Cleaning & Janitorial
260315H,REGENT OFFICE CARE LTD========,25560,26,161.76,STRATEGIC (CYCLICAL),02/04/2015,,Technical and Service Support,Cleaning & Janitorial
260315H,REGENT OFFICE CARE LTD========,25560,27,194.11,STRATEGIC (CYCLICAL),02/04/2015,,Technical and Service Support,Cleaning & Janitorial
260315H,REGENT OFFICE CARE LTD========,25560,28,194.11,STRATEGIC (CYCLICAL),02/04/2015,,Technical and Service Support,Cleaning & Janitorial
300315H,PELI PRODUCTS (UK) LTD========,267094,1,675.18,PROTECTIVE EQUIPMENT,02/04/2015,747.18,Technical And Service Support,Fire & Rescue
300315H,PELI PRODUCTS (UK) LTD========,267094,2,60,PROTECTIVE EQUIPMENT,02/04/2015,,Technical And Service Support,Fire & Rescue
300315H,PELI PRODUCTS (UK) LTD========,267094,3,12,PROTECTIVE EQUIPMENT,02/04/2015,,Technical And Service Support,Fire & Rescue
300315H,B NOKES CONTRACTS LTD,2673,1,320,TACTICAL DAY TO DAY,02/04/2015,320,Technical And Service Support,"Works - Construction, R&M"
300315H,B NOKES CONTRACTS LTD,2674,1,"6,182.50",STRATEGIC (NON CYCLICAL),02/04/2015,"6,182.50",Technical and Service Support,"Works - Construction, R&M"
300315H,B NOKES CONTRACTS LTD,2675,1,550,TACTICAL DAY TO DAY,02/04/2015,550,Technical And Service Support,"Works - Construction, R&M"
300315H,B NOKES CONTRACTS LTD,2676,1,"3,865.00",STRATEGIC (NON CYCLICAL),02/04/2015,"3,865.00",Technical and Service Support,"Works - Construction, R&M"
300315H,B NOKES CONTRACTS LTD,2677,1,"4,837.00",STRATEGIC (NON CYCLICAL),02/04/2015,"4,837.00",Technical and Service Support,"Works - Construction, R&M"
300315H,B NOKES CONTRACTS LTD,2686,1,"20,076.42",DEVELOPMENT  EXPENSES-CONTRACT,02/04/2015,"20,076.42",Technical and Service Support,"Works - Construction, R&M"
260315H,ARKAS LIMITED=================,26873,1,776.26,STRATEGIC (CYCLICAL),02/04/2015,"1,895.14",Technical And Service Support,"Works - Construction, R&M"
260315H,ARKAS LIMITED=================,26873,2,362.5,STRATEGIC (CYCLICAL),02/04/2015,,Technical And Service Support,"Works - Construction, R&M"
260315H,ARKAS LIMITED=================,26873,3,376.96,STRATEGIC (CYCLICAL),02/04/2015,,Technical And Service Support,"Works - Construction, R&M"
260315H,ARKAS LIMITED=================,26873,4,379.42,STRATEGIC (CYCLICAL),02/04/2015,,Technical And Service Support,"Works - Construction, R&M"
260315H,ARKAS LIMITED=================,26876,1,167.33,STRATEGIC (CYCLICAL),02/04/2015,912.34,Technical And Service Support,"Works - Construction, R&M"
260315H,ARKAS LIMITED=================,26876,2,214,TACTICAL DAY TO DAY,02/04/2015,,Technical And Service Support,"Works - Construction, R&M"
260315H,ARKAS LIMITED=================,26876,3,164.5,STRATEGIC (CYCLICAL),02/04/2015,,Technical And Service Support,"Works - Construction, R&M"
260315H,ARKAS LIMITED=================,26876,4,366.51,STRATEGIC (CYCLICAL),02/04/2015,,Technical And Service Support,"Works - Construction, R&M"
300315H,ARKAS LIMITED=================,26881,1,222.6,STRATEGIC (CYCLICAL),02/04/2015,939.2,Technical And Service Support,"Works - Construction, R&M"
300315H,ARKAS LIMITED=================,26881,2,247,STRATEGIC (CYCLICAL),02/04/2015,,Technical And Service Support,"Works - Construction, R&M"
300315H,ARKAS LIMITED=================,26881,3,272.1,TACTICAL DAY TO DAY,02/04/2015,,Technical And Service Support,"Works - Construction, R&M"
300315H,ARKAS LIMITED=================,26881,4,197.5,STRATEGIC (CYCLICAL),02/04/2015,,Technical And Service Support,"Works - Construction, R&M"
260315H,ARKAS LIMITED=================,26883,1,197.5,TACTICAL DAY TO DAY,02/04/2015,"1,070.92",Technical And Service Support,"Works - Construction, R&M"
260315H,ARKAS LIMITED=================,26883,2,197.5,STRATEGIC (CYCLICAL),02/04/2015,,Technical And Service Support,"Works - Construction, R&M"
260315H,ARKAS LIMITED=================,26883,3,461.92,STRATEGIC (CYCLICAL),02/04/2015,,Technical And Service Support,"Works - Construction, R&M"
260315H,ARKAS LIMITED=================,26883,4,214,STRATEGIC (CYCLICAL),02/04/2015,,Technical And Service Support,"Works - Construction, R&M"
270315H,DRAEGER SAFETY UK LIMITED=====,2910011747,1,"3,292.00",PROFESSIONAL DEVELOPMENT,02/04/2015,"6,584.00",Technical And Service Support,Fire & Rescue
270315H,DRAEGER SAFETY UK LIMITED=====,2910011747,2,"3,292.00",PROFESSIONAL DEVELOPMENT,02/04/2015,,Technical And Service Support,Fire & Rescue
270315H,DRAEGER SAFETY UK LIMITED=====,2910011748,1,"1,700.00",PROFESSIONAL DEVELOPMENT,02/04/2015,"1,700.00",Technical And Service Support,Fire & Rescue
270315H,DRAEGER SAFETY UK LIMITED=====,2910011749,1,"1,418.50",PROTECTIVE EQUIPT - PARTS,02/04/2015,"1,418.50",Technical and Service Support,Fire & Rescue
240315H,DRAEGER SAFETY UK LIMITED=====,2910011806,1,241.5,REPAIR & MAINTENANCE,02/04/2015,"2,076.81",Technical And Service Support,Fire & Rescue
240315H,DRAEGER SAFETY UK LIMITED=====,2910011806,2,82.8,REPAIR & MAINTENANCE,02/04/2015,,Technical And Service Support,Fire & Rescue
240315H,DRAEGER SAFETY UK LIMITED=====,2910011806,3,"1,194.95",REPAIR & MAINTENANCE,02/04/2015,,Technical And Service Support,Fire & Rescue
240315H,DRAEGER SAFETY UK LIMITED=====,2910011806,4,557.56,REPAIR & MAINTENANCE,02/04/2015,,Technical And Service Support,Fire & Rescue
250315H,DRAEGER SAFETY UK LIMITED=====,2910011826,1,358.05,REPAIR & MAINTENANCE,02/04/2015,358.05,Technical And Service Support,Fire & Rescue
300315H,DRAEGER SAFETY UK LIMITED=====,2910012763,1,69,REPAIR & MAINTENANCE,02/04/2015,546.98,Technical And Service Support,Fire & Rescue
300315H,DRAEGER SAFETY UK LIMITED=====,2910012763,2,477.98,REPAIR & MAINTENANCE,02/04/2015,,Technical And Service Support,Fire & Rescue
300315H,PRECISE MEDIA MONITORING LTD==,311898,1,577.7,PRESS OFFICE,02/04/2015,577.7,Communications,Education
260315H,S W BRUCE & CO LTD,31790,1,"17,410.39",DEVELOPMENT  EXPENSES-CONTRACT,02/04/2015,"19,998.00",Technical and Service Support,"Works - Construction, R&M"
260315H,S W BRUCE & CO LTD,31790,2,"2,587.61",DEVELOPMENT  EXPENSES-CONTRACT,02/04/2015,,Technical and Service Support,"Works - Construction, R&M"
260315H,STORM TECHNOLOGIES============,318629,1,"2,110.35",TELECOMMUNICATIONS,02/04/2015,"2,532.42",Communications,ICT
260315H,STORM TECHNOLOGIES============,318629,2,422.07,ACQUISITIONS,02/04/2015,,Information and Communication Technology,ICT
300315H,S W BRUCE & CO LTD,31978,1,617.64,DEVELOPMENT  EXPENSES-CONTRACT,02/04/2015,617.64,Technical and Service Support,"Works - Construction, R&M"
300315H,S W BRUCE & CO LTD,32129,1,"4,679.02",STRATEGIC (NON CYCLICAL),02/04/2015,"4,679.02",Technical and Service Support,"Works - Construction, R&M"
230315G,S W BRUCE & CO LTD,32131,1,"2,500.87",STRATEGIC (NON CYCLICAL),02/04/2015,"2,500.87",Technical and Service Support,"Works - Construction, R&M"
230315G,S W BRUCE & CO LTD,32132,1,"4,631.25",STRATEGIC (NON CYCLICAL),02/04/2015,"4,631.25",Technical and Service Support,"Works - Construction, R&M"
240315H,S W BRUCE & CO LTD,32133,1,"8,044.73",STRATEGIC (NON CYCLICAL),02/04/2015,"8,044.73",Technical and Service Support,"Works - Construction, R&M"
230315G,S W BRUCE & CO LTD,32134,1,"8,310.90",STRATEGIC (NON CYCLICAL),02/04/2015,"8,310.90",Technical and Service Support,"Works - Construction, R&M"
230315G,S W BRUCE & CO LTD,32135,1,"4,114.50",STRATEGIC (NON CYCLICAL),02/04/2015,"4,114.50",Technical and Service Support,"Works - Construction, R&M"
230315G,S W BRUCE & CO LTD,32136,1,"3,810.30",STRATEGIC (NON CYCLICAL),02/04/2015,"3,810.30",Technical and Service Support,"Works - Construction, R&M"
260315H,S W BRUCE & CO LTD,32176,1,"18,996.72",DEVELOPMENT  EXPENSES-CONTRACT,02/04/2015,"41,500.32",Technical and Service Support,"Works - Construction, R&M"
260315H,S W BRUCE & CO LTD,32176,2,"22,503.60",DEVELOPMENT  EXPENSES-CONTRACT,02/04/2015,,Technical and Service Support,"Works - Construction, R&M"
300315H,BEAUMONT CONSTRUCTION SERVICES,3428,1,"4,650.00",STRATEGIC (NON CYCLICAL),02/04/2015,"4,650.00",Technical and Service Support,"Works - Construction, R&M"
270315H,EUROLOOS LTD,34345,1,"1,495.00",OPERATIONAL EQUIP-PURCHASE,02/04/2015,"1,495.00",Operations Non Fire Stations,Facilities & Management S
300315H,PRESTIGE PROJECTS LTD,3459,1,295,OPERATIONAL EQUIP-PURCHASE,02/04/2015,295,Community Safety Delivery,Social Community Care S&S
230315H,HUNTERS CONTRACTS LIMITED,349505,1,598.5,OFFICE FURNITURE,02/04/2015,598.5,Operations Fire Stations,Furniture
270315H,MCGRATH BROS (WASTE CONTROL) L,358830,1,268.4,REFUSE COLLECTION,02/04/2015,"15,655.92",Technical And Service Support,Environmental Services
270315H,MCGRATH BROS (WASTE CONTROL) L,358830,2,112.16,REFUSE COLLECTION,02/04/2015,,Technical And Service Support,Environmental Services
270315H,MCGRATH BROS (WASTE CONTROL) L,358830,3,209.36,REFUSE COLLECTION,02/04/2015,,Technical And Service Support,Environmental Services
270315H,MCGRATH BROS (WASTE CONTROL) L,358830,4,82.64,REFUSE COLLECTION,02/04/2015,,Technical And Service Support,Environmental Services
270315H,MCGRATH BROS (WASTE CONTROL) L,358830,5,112.16,REFUSE COLLECTION,02/04/2015,,Technical And Service Support,Environmental Services
270315H,MCGRATH BROS (WASTE CONTROL) L,358830,6,82.64,REFUSE COLLECTION,02/04/2015,,Technical And Service Support,Environmental Services
270315H,MCGRATH BROS (WASTE CONTROL) L,358830,7,29.52,REFUSE COLLECTION,02/04/2015,,Technical And Service Support,Environmental Services
270315H,MCGRATH BROS (WASTE CONTROL) L,358830,8,144.56,REFUSE COLLECTION,02/04/2015,,Technical And Service Support,Environmental Services
270315H,MCGRATH BROS (WASTE CONTROL) L,358830,9,112.16,REFUSE COLLECTION,02/04/2015,,Technical And Service Support,Environmental Services
270315H,MCGRATH BROS (WASTE CONTROL) L,358830,10,82.64,REFUSE COLLECTION,02/04/2015,,Technical And Service Support,Environmental Services
270315H,MCGRATH BROS (WASTE CONTROL) L,358830,11,29.52,REFUSE COLLECTION,02/04/2015,,Technical And Service Support,Environmental Services
270315H,MCGRATH BROS (WASTE CONTROL) L,358830,12,115.04,REFUSE COLLECTION,02/04/2015,,Technical And Service Support,Environmental Services
270315H,MCGRATH BROS (WASTE CONTROL) L,358830,13,144.56,REFUSE COLLECTION,02/04/2015,,Technical And Service Support,Environmental Services
270315H,MCGRATH BROS (WASTE CONTROL) L,358830,14,268.4,REFUSE COLLECTION,02/04/2015,,Technical And Service Support,Environmental Services
270315H,MCGRATH BROS (WASTE CONTROL) L,358830,15,112.16,REFUSE COLLECTION,02/04/2015,,Technical And Service Support,Environmental Services
270315H,MCGRATH BROS (WASTE CONTROL) L,358830,16,333.2,REFUSE COLLECTION,02/04/2015,,Technical And Service Support,Environmental Services
270315H,MCGRATH BROS (WASTE CONTROL) L,358830,17,82.64,REFUSE COLLECTION,02/04/2015,,Technical And Service Support,Environmental Services
