 Batch Number,Vendor Name,Invoice Number, Line,Line Amount,Account Description,Issue Date ,Total Amount Paid,Department,Proclass
142007,EDF ENERGY,00003301980,1,804.92,ELECTRICITY,28/09/17,"3,384.52",Technical and Service Support,Utilities
142007,EDF ENERGY,00003301980,2,753.47,ELECTRICITY,28/09/17,,Technical and Service Support,Utilities
142007,EDF ENERGY,00003301980,3,642.09,ELECTRICITY,28/09/17,,Technical and Service Support,Utilities
142007,EDF ENERGY,00003301980,4,110.03,ELECTRICITY,28/09/17,,Technical and Service Support,Utilities
142007,EDF ENERGY,00003301980,5,349.37,ELECTRICITY,28/09/17,,Technical and Service Support,Utilities
142007,EDF ENERGY,00003301980,6,724.64,ELECTRICITY,28/09/17,,Technical and Service Support,Utilities
250917K,MOOLANDS LTD,00009242,1,845.00,REACTIVE SMALL WORKS AND PROJ,28/09/17,845.00,Technical and Service Support,"Works - Construction, R&M"
250917K,STENNIK ADVERTISING LIMITED,00019389,1,425.00,PROFESSIONAL DEVELOPMENT,28/09/17,425.00,Development and Training,Human Resources
141991,CASTLE WATER LIMITED,00595350,1,"1,044.80",WATER & SEWERAGE RATES,28/09/17,"1,044.80",Technical and Service Support,Utilities
141991,CASTLE WATER LIMITED,00595429,1,"7,211.80",WATER & SEWERAGE RATES,28/09/17,"7,211.80",Technical and Service Support,Utilities
220917K,MERLIN ELECTRICAL SERVICES LTD,10000,1,257.08,REACTIVE SMALL WORKS AND PROJ,28/09/17,257.08,Technical and Service Support,Facilities & Management S
220917K,ROYAL COLLEGE OF MUSIC========,11051169,1,420.00,PUBLIC RELATIONS,28/09/17,420.00,Communications,Facilities & Management S
220917K,*SPRUE SAFETY PRODUCTS LTD,1108955,1,988.80,FIRE DETECTORS,28/09/17,988.80,Fire Stations (South East),Health & Safety
220917K,*SPRUE SAFETY PRODUCTS LTD,1108956,1,"2,472.00",FIRE DETECTORS,28/09/17,"2,472.00",Fire Stations (North West),Health & Safety
220917K,*SPRUE SAFETY PRODUCTS LTD,1108958,1,"2,224.80",FIRE DETECTORS,28/09/17,"2,224.80",Fire Stations (North West),Health & Safety
220917K,*SPRUE SAFETY PRODUCTS LTD,1108959,1,"1,112.40",FIRE DETECTORS,28/09/17,"1,112.40",Fire Stations (North West),Health & Safety
220917K,*SPRUE SAFETY PRODUCTS LTD,1108960,1,"1,236.00",FIRE DETECTORS,28/09/17,"1,236.00",Fire Stations (North West),Health & Safety
220917K,*SPRUE SAFETY PRODUCTS LTD,1108962,1,"2,224.80",FIRE DETECTORS,28/09/17,"2,224.80",Fire Stations (North West),Health & Safety
210917K,*SPRUE SAFETY PRODUCTS LTD,1109013,1,"1,236.00",FIRE DETECTORS,28/09/17,"1,236.00",Fire Stations (North West),Health & Safety
210917K,*SPRUE SAFETY PRODUCTS LTD,1109028,1,"1,236.00",FIRE DETECTORS,28/09/17,"1,236.00",Fire Stations (North West),Health & Safety
210917K,*SPRUE SAFETY PRODUCTS LTD,1109035,1,"1,236.00",FIRE DETECTORS,28/09/17,"1,236.00",Fire Stations (North East),Health & Safety
210917K,*SPRUE SAFETY PRODUCTS LTD,1109037,1,"1,854.00",FIRE DETECTORS,28/09/17,"1,854.00",Fire Stations (North East),Health & Safety
210917K,*SPRUE SAFETY PRODUCTS LTD,1109039,1,988.80,FIRE DETECTORS,28/09/17,988.80,Fire Stations (North East),Health & Safety
110917G,*SPRUE SAFETY PRODUCTS LTD,1109221,1,"4,000.00",FIRE DETECTORS,28/09/17,"4,000.00",Fire Stations (South East),Health & Safety
120917G,*SPRUE SAFETY PRODUCTS LTD,1109232,1,"2,400.00",FIRE DETECTORS,28/09/17,"2,400.00",Fire Stations (South West),Health & Safety
120917G,*SPRUE SAFETY PRODUCTS LTD,1109233,1,"2,400.00",FIRE DETECTORS,28/09/17,"2,400.00",Fire Stations (South West),Health & Safety
110917G,*SPRUE SAFETY PRODUCTS LTD,1109283,1,"3,080.00",FIRE DETECTORS,28/09/17,"3,080.00",Fire Stations (North West),Health & Safety
220917K,*SPRUE SAFETY PRODUCTS LTD,1109455,1,"5,600.00",FIRE DETECTORS,28/09/17,"5,600.00",Fire Stations (North West),Health & Safety
220917K,*SPRUE SAFETY PRODUCTS LTD,1109456,1,"5,600.00",FIRE DETECTORS,28/09/17,"5,600.00",Fire Stations (North West),Health & Safety
220917K,*SPRUE SAFETY PRODUCTS LTD,1109472,1,550.20,FIRE DETECTORS,28/09/17,550.20,Community Safety,Health & Safety
142000,CORONA ENERGY RETAIL 4 LTD,1237308171,1,286.41,GAS,28/09/17,"5,632.37",Technical and Service Support,Utilities
142000,CORONA ENERGY RETAIL 4 LTD,1237308171,2,23.63,GAS,28/09/17,,Technical and Service Support,Utilities
142000,CORONA ENERGY RETAIL 4 LTD,1237308171,3,125.21,GAS,28/09/17,,Technical and Service Support,Utilities
142000,CORONA ENERGY RETAIL 4 LTD,1237308171,4,202.38,GAS,28/09/17,,Technical and Service Support,Utilities
142000,CORONA ENERGY RETAIL 4 LTD,1237308171,5,172.33,GAS,28/09/17,,Technical and Service Support,Utilities
142000,CORONA ENERGY RETAIL 4 LTD,1237308171,6,60.50,GAS,28/09/17,,Technical and Service Support,Utilities
142000,CORONA ENERGY RETAIL 4 LTD,1237308171,7,339.96,GAS,28/09/17,,Technical and Service Support,Utilities
142000,CORONA ENERGY RETAIL 4 LTD,1237308171,8,216.88,GAS,28/09/17,,Technical and Service Support,Utilities
142000,CORONA ENERGY RETAIL 4 LTD,1237308171,9,53.06,GAS,28/09/17,,Technical and Service Support,Utilities
142000,CORONA ENERGY RETAIL 4 LTD,1237308171,10,160.33,GAS,28/09/17,,Technical and Service Support,Utilities
142000,CORONA ENERGY RETAIL 4 LTD,1237308171,11,286.63,GAS,28/09/17,,Technical and Service Support,Utilities
142000,CORONA ENERGY RETAIL 4 LTD,1237308171,12,157.54,GAS,28/09/17,,Technical and Service Support,Utilities
142000,CORONA ENERGY RETAIL 4 LTD,1237308171,13,104.19,GAS,28/09/17,,Technical and Service Support,Utilities
142000,CORONA ENERGY RETAIL 4 LTD,1237308171,14,95.45,GAS,28/09/17,,Technical and Service Support,Utilities
142000,CORONA ENERGY RETAIL 4 LTD,1237308171,15,145.27,GAS,28/09/17,,Technical and Service Support,Utilities
142000,CORONA ENERGY RETAIL 4 LTD,1237308171,16,369.86,GAS,28/09/17,,Technical and Service Support,Utilities
142000,CORONA ENERGY RETAIL 4 LTD,1237308171,17,37.82,GAS,28/09/17,,Technical and Service Support,Utilities
142000,CORONA ENERGY RETAIL 4 LTD,1237308171,18,344.48,GAS,28/09/17,,Technical and Service Support,Utilities
142000,CORONA ENERGY RETAIL 4 LTD,1237308171,19,136.04,GAS,28/09/17,,Technical and Service Support,Utilities
142000,CORONA ENERGY RETAIL 4 LTD,1237308171,20,412.41,GAS,28/09/17,,Technical and Service Support,Utilities
142000,CORONA ENERGY RETAIL 4 LTD,1237308171,21,51.29,GAS,28/09/17,,Technical and Service Support,Utilities
142000,CORONA ENERGY RETAIL 4 LTD,1237308171,22,34.72,GAS,28/09/17,,Technical and Service Support,Utilities
142000,CORONA ENERGY RETAIL 4 LTD,1237308171,23,52.67,GAS,28/09/17,,Technical and Service Support,Utilities
142000,CORONA ENERGY RETAIL 4 LTD,1237308171,24,55.87,GAS,28/09/17,,Technical and Service Support,Utilities
142000,CORONA ENERGY RETAIL 4 LTD,1237308171,25,27.28,GAS,28/09/17,,Technical and Service Support,Utilities
142000,CORONA ENERGY RETAIL 4 LTD,1237308171,26,15.88,GAS,28/09/17,,Technical and Service Support,Utilities
142000,CORONA ENERGY RETAIL 4 LTD,1237308171,27,12.40,GAS,28/09/17,,Technical and Service Support,Utilities
142000,CORONA ENERGY RETAIL 4 LTD,1237308171,28,46.90,GAS,28/09/17,,Technical and Service Support,Utilities
142000,CORONA ENERGY RETAIL 4 LTD,1237308171,29,80.31,GAS,28/09/17,,Technical and Service Support,Utilities
142000,CORONA ENERGY RETAIL 4 LTD,1237308171,30,367.46,GAS,28/09/17,,Technical and Service Support,Utilities
142000,CORONA ENERGY RETAIL 4 LTD,1237308171,31,30.07,GAS,28/09/17,,Technical and Service Support,Utilities
142000,CORONA ENERGY RETAIL 4 LTD,1237308171,32,626.03,GAS,28/09/17,,Technical and Service Support,Utilities
